no,region,bidang,karakteristik,komponen,level,pcr,x,y,z
1,1,1,2,3,0,0,110.86,598.03,94.40
2,1,1,2,3,0,0,133.01,594.57,93.33
3,1,1,2,3,0,0,150.38,633.25,110.51
4,1,1,2,3,0,0,158.37,656.99,117.84
5,1,1,2,3,0,0,173.86,699.30,125.68
6,1,1,2,3,0,0,180.04,716.29,130.93
7,2,1,3,1,0,0,74.56,360.94,39.80
8,2,1,3,1,0,0,107.43,366.01,39.80
9,2,1,3,1,0,0,140.91,365.88,39.80
10,2,1,3,1,0,0,171.60,360.40,39.80
11,2,1,3,1,0,0,73.92,371.78,37.13
12,2,1,3,1,0,0,108.57,396.86,39.80
13,2,1,3,1,0,0,139.89,396.39,39.80
14,2,1,3,1,0,0,170.57,376.17,37.89
15,3,1,3,3,0,0,91.03,473.34,57.34
16,3,1,3,3,0,0,168.50,468.75,55.92
17,3,1,3,3,0,0,94.36,505.49,67.27
18,3,1,3,3,0,0,134.85,500.66,65.78
19,3,1,3,3,0,0,174.33,495.30,64.12
20,4,1,3,5,2,3,170.13,917.99,193.24
21,4,1,3,5,2,3,213.28,908.18,190.21
22,4,1,3,5,2,3,179.15,979.08,206.93
23,5,1,3,6,1,0,186.70,1032.00,209.86
24,5,1,3,6,1,0,231.70,1032.00,209.86
25,5,1,3,6,1,0,191.55,1084.61,209.00
26,5,1,3,6,1,0,231.74,1081.03,209.00
27,6,1,3,5,2,3,210.41,1123.74,209.00
28,6,1,3,5,2,3,232.73,1191.09,209.00
29,6,1,3,5,2,3,235.70,1272.06,209.00
30,6,1,3,4,0,0,206.98,1311.96,209.00
31,6,1,3,4,0,0,246.71,1311.96,209.00
32,6,1,3,4,0,0,206.58,1339.77,209.00
33,6,1,3,4,0,0,247.50,1340.57,209.00
34,7,1,1,6,2,1,238.22,656.48,201.43
35,7,1,1,6,2,1,239.79,675.45,206.19
36,8,2,1,1,0,0,196.96,411.73,145.99
37,8,2,1,1,0,0,193.49,410.03,103.82
38,8,2,1,1,0,0,189.68,407.57,57.53
39,9,2,1,1,0,0,198.21,478.41,146.17
40,9,2,1,1,0,0,196.04,486.04,109.53
41,9,2,1,1,0,0,194.29,494.55,77.65
42,10,2,1,3,0,0,204.80,527.29,148.32
43,10,2,1,3,0,0,205.63,533.24,118.74
44,10,2,1,3,0,0,203.99,538.12,92.64
45,11,2,1,3,1,0,214.71,628.94,142.39
46,11,2,1,3,1,0,221.12,681.46,154.86
47,11,2,1,3,1,0,229.62,730.01,197.00
48,11,2,1,3,1,0,230.21,727.24,176.09
49,11,2,1,3,1,0,227.70,723.96,150.19
50,12,2,1,5,0,0,249.59,924.59,212.61
51,12,2,1,5,0,0,256.04,979.25,228.80
52,13,2,1,5,2,3,261.80,1089.46,230.46
53,13,2,1,5,2,3,262.37,1150.83,230.91
54,13,2,1,5,2,3,262.31,1211.48,230.27
55,13,2,1,5,2,3,262.30,1270.39,230.10
56,14,2,1,4,0,0,265.56,1312.31,251.30
57,14,2,1,4,0,0,262.97,1312.31,221.67
58,14,2,1,4,0,0,265.56,1337.87,251.30
59,14,2,1,4,0,0,262.97,1337.87,221.67
60,15,2,1,10,2,2,201.11,261.83,148.89
61,15,2,1,10,2,2,198.75,259.33,119.85
62,15,2,1,10,2,2,196.60,256.29,93.26
63,16,2,1,10,2,2,198.83,339.20,148.65
64,16,2,1,10,2,2,196.45,339.84,120.66
65,16,2,1,10,2,2,194.01,340.02,91.56
66,17,2,1,6,2,1,208.89,577.82,152.35
67,17,2,1,6,2,1,208.02,575.73,127.11
68,18,2,1,6,2,1,230.27,754.63,191.41
69,18,2,1,6,2,1,229.55,767.59,166.92
70,19,3,1,7,1,0,46.03,75.72,54.29
71,19,3,1,7,1,0,46.03,115.88,54.30
72,19,3,1,7,1,0,46.02,191.51,54.32
73,19,3,1,7,1,0,45.82,243.50,58.28
74,19,3,1,7,1,0,45.70,295.60,60.48
75,20,3,1,7,1,0,49.88,347.10,60.31
76,20,3,1,7,1,0,58.20,398.11,62.73
77,21,3,1,2,1,0,64.25,448.30,70.88
78,21,3,1,2,1,0,71.20,497.86,86.05
79,21,3,1,2,1,0,73.68,523.55,106.46
80,21,3,1,2,1,0,77.80,563.18,134.85
81,21,3,1,2,1,0,79.49,556.16,102.58
82,21,3,1,2,1,0,84.75,608.72,112.55
83,21,3,1,2,1,0,89.10,640.21,122.95
84,21,3,1,2,1,0,93.98,675.04,133.61
85,21,3,1,2,1,0,98.57,708.35,144.70
86,21,3,1,2,1,0,103.66,744.71,155.94
87,21,3,1,2,1,0,101.36,729.91,183.79
88,21,3,1,2,1,0,104.95,759.82,199.67
89,22,3,1,5,0,0,137.52,921.44,212.87
90,22,3,1,5,0,0,147.58,975.43,228.41
91,22,3,1,5,2,3,158.49,1029.57,230.91
92,22,3,1,5,2,3,169.58,1083.26,231.12
93,22,3,1,5,2,3,184.17,1153.77,231.02
94,23,3,1,5,2,3,192.77,1217.24,230.88
95,23,3,1,5,2,3,192.82,1272.97,229.97
96,24,3,1,4,0,0,190.38,1312.88,249.69
97,24,3,1,4,0,0,191.79,1312.55,222.85
98,24,3,1,4,0,0,190.38,1338.24,249.84
99,24,3,1,4,0,0,191.83,1338.06,222.02
100,25,3,1,8,2,2,42.83,258.34,115.21
101,25,3,1,8,2,2,44.18,256.13,89.46
102,26,3,1,8,2,2,43.83,338.16,115.26
103,26,3,1,8,2,2,45.18,338.60,89.55
104,27,3,1,9,2,1,82.08,601.06,158.07
105,27,3,1,9,2,1,83.36,595.83,133.80
106,28,3,1,9,2,1,93.67,682.93,181.80
107,28,3,1,9,2,1,98.43,703.37,166.73
