mi,mj,cx,cy,cz,dx,dy,dz
2,3,107.18,411.28,39.80,141.95,411.28,39.80
3,4,142.49,925.73,195.63,244.90,925.73,195.63
4,6,165.34,1014.28,210.50,248.30,1014.28,210.50
5,6,202.55,1279.00,210.50,252.11,1279.00,210.50
7,8,197.01,461.82,152.31,189.31,460.15,59.78
8,9,205.65,588.54,99.43,211.64,588.32,172.94
9,10,200.60,496.46,152.90,196.12,513.68,76.30
12,13,259.88,995.37,259.26,256.55,1007.07,211.74
13,14,261.92,1279.00,225.78,262.65,1279.00,234.12
18,19,157.91,1015.81,217.70,156.82,1016.06,239.10
19,20,42.70,311.13,85.25,44.75,311.24,46.21
20,21,58.30,413.64,53.01,50.44,408.63,132.21
21,22,129.40,889.27,244.39,132.31,888.72,187.83
22,23,191.05,1205.69,263.66,193.52,1205.44,216.58
23,24,189.70,1305.80,262.69,192.29,1305.80,213.29
